,0,1,2,3,4,5,6,7,8,9
62,-51.0,-69.0,-561.0,229.0,374.0,-441.0,-36.0,-228.0,-368.0,54.0
63,-58.0,-80.0,-768.0,172.0,302.0,-260.0,-175.0,-194.0,-321.0,149.0
64,92.0,-46.0,-561.0,279.0,180.0,-239.0,-141.0,-259.0,-325.0,93.0
65,283.0,112.0,158.0,340.0,591.0,66.0,344.0,441.0,258.0,334.0
66,155.0,0.0,-285.0,318.0,467.0,-185.0,125.0,103.0,-43.0,266.0
67,72.0,20.0,-128.0,-12.0,213.0,-358.0,138.0,380.0,-105.0,50.0
68,-103.0,-175.0,-512.0,-298.0,-17.0,-560.0,-160.0,74.0,-248.0,42.0
69,-408.0,-357.0,-1067.0,-475.0,-293.0,-1074.0,-393.0,-536.0,-555.0,-216.0
70,-602.0,-494.0,-1297.0,-650.0,-409.0,-1172.0,-521.0,-726.0,-751.0,-295.0
71,-691.0,-678.0,-1435.0,-813.0,-650.0,-1285.0,-838.0,-896.0,-842.0,-314.0
72,-831.0,-758.0,-1630.0,-1015.0,-745.0,-1395.0,-835.0,-1000.0,-974.0,-517.0
73,-898.0,-781.0,-1768.0,-1076.0,-752.0,-1407.0,-882.0,-1129.0,-1007.0,-523.0
74,-975.0,-804.0,-1898.0,-1142.0,-906.0,-1512.0,-952.0,-1073.0,-1053.0,-560.0
75,-727.0,-689.0,-1779.0,-1102.0,-970.0,-1399.0,-867.0,-1163.0,-923.0,-380.0
76,-915.0,-850.0,-1620.0,-928.0,-945.0,-1433.0,-920.0,-1016.0,-994.0,-480.0
77,-630.0,-471.0,-1489.0,-406.0,-648.0,-1008.0,-254.0,-757.0,-762.0,-354.0
78,-69.0,158.0,-842.0,77.0,-63.0,-555.0,495.0,-136.0,-447.0,-3.0
79,292.0,606.0,-475.0,429.0,421.0,-228.0,537.0,134.0,-55.0,554.0
80,124.0,174.0,-619.0,340.0,677.0,-168.0,380.0,-172.0,-115.0,449.0
81,-174.0,47.0,-757.0,344.0,204.0,-441.0,155.0,-154.0,-438.0,64.0
82,-111.0,-34.0,-872.0,208.0,166.0,-424.0,7.0,-334.0,-385.0,79.0
83,57.0,22.0,-314.0,277.0,337.0,92.0,134.0,136.0,-55.0,187.0
84,-280.0,-172.0,-757.0,28.0,53.0,-592.0,-104.0,-394.0,-458.0,-45.0
85,-217.0,-103.0,-870.0,101.0,242.0,-349.0,-15.0,-263.0,-484.0,38.0
86,-76.0,104.0,-745.0,155.0,271.0,-412.0,2.0,-232.0,-378.0,31.0
87,-70.0,-89.0,-619.0,233.0,268.0,-264.0,-10.0,-107.0,-369.0,100.0
88,203.0,342.0,-49.0,235.0,528.0,29.0,180.0,264.0,205.0,222.0
89,314.0,146.0,273.0,331.0,635.0,-26.0,374.0,428.0,276.0,273.0
90,225.0,-34.0,-159.0,381.0,511.0,-138.0,58.0,23.0,-26.0,248.0
91,18.0,-138.0,-527.0,-34.0,153.0,-664.0,-118.0,-83.0,-340.0,47.0
92,-85.0,-333.0,-837.0,-308.0,-97.0,-870.0,-319.0,-186.0,-503.0,-123.0
93,-372.0,-425.0,-1009.0,-497.0,-259.0,-823.0,-424.0,-522.0,-620.0,-264.0
94,-572.0,-448.0,-1274.0,-566.0,-482.0,-991.0,-606.0,-658.0,-808.0,-298.0
95,-742.0,-678.0,-1446.0,-839.0,-636.0,-1227.0,-730.0,-880.0,-869.0,-434.0
96,-810.0,-781.0,-1584.0,-1013.0,-779.0,-1378.0,-808.0,-1008.0,-818.0,-411.0
97,-887.0,-850.0,-1423.0,-945.0,-815.0,-1374.0,-842.0,-1150.0,-973.0,-546.0
98,-944.0,-793.0,-1768.0,-1100.0,-922.0,-1445.0,-927.0,-1159.0,-1002.0,-527.0
99,-795.0,-681.0,-1406.0,-1187.0,-759.0,-1303.0,-673.0,-813.0,-695.0,-409.0
100,-916.0,-701.0,-1780.0,-1019.0,-814.0,-1256.0,-801.0,-1083.0,-914.0,-542.0
101,-587.0,-333.0,-1406.0,-361.0,-600.0,-1021.0,-221.0,-720.0,-829.0,-405.0
102,-418.0,-79.0,-1377.0,62.0,-266.0,-777.0,237.0,-543.0,-676.0,-175.0
103,-33.0,127.0,-1131.0,338.0,234.0,-433.0,385.0,-230.0,-456.0,347.0
104,32.0,104.0,-722.0,277.0,518.0,-353.0,323.0,-143.0,-161.0,637.0
105,-65.0,115.0,-233.0,290.0,601.0,117.0,440.0,325.0,-34.0,354.0
106,-33.0,35.0,-734.0,343.0,269.0,-290.0,104.0,-243.0,-335.0,94.0
107,-31.0,43.0,-348.0,402.0,368.0,24.0,204.0,227.0,-74.0,240.0
108,-457.0,-161.0,-918.0,154.0,105.0,-496.0,-25.0,-327.0,-384.0,-58.0
109,-198.0,12.0,-699.0,304.0,355.0,-441.0,84.0,-251.0,-396.0,68.0
110,39.0,334.0,-619.0,421.0,266.0,-441.0,144.0,-111.0,-354.0,79.0
111,62.0,184.0,-550.0,306.0,347.0,-399.0,46.0,-151.0,-262.0,82.0
112,256.0,46.0,-446.0,339.0,439.0,-193.0,42.0,-50.0,-221.0,233.0
113,159.0,58.0,-251.0,395.0,456.0,-193.0,112.0,41.0,-21.0,257.0
114,159.0,49.0,-285.0,366.0,508.0,-248.0,172.0,-48.0,-88.0,194.0
115,112.0,-115.0,-412.0,-74.0,236.0,-659.0,-97.0,-80.0,-268.0,88.0
116,-34.0,-229.0,-688.0,-225.0,-69.0,-773.0,-232.0,-127.0,-489.0,-9.0
117,-171.0,-389.0,-849.0,-324.0,-171.0,-794.0,-392.0,-417.0,-612.0,-80.0
118,-231.0,-325.0,-704.0,-549.0,-242.0,-820.0,-298.0,-167.0,-388.0,-92.0
119,-596.0,-597.0,-1412.0,-868.0,-648.0,-1319.0,-684.0,-790.0,-749.0,-371.0
