,0,1,2,3,4,5,6,7,8,9
0,-742.0,-482.0,-1676.0,-925.0,-622.0,-1138.0,-869.0,-932.0,-926.0,-363.0
1,-760.0,-689.0,-1550.0,-894.0,-775.0,-1307.0,-767.0,-976.0,-969.0,-449.0
2,-928.0,-816.0,-1665.0,-1025.0,-774.0,-1470.0,-760.0,-981.0,-963.0,-465.0
3,-723.0,-635.0,-1245.0,-1040.0,-696.0,-1207.0,-506.0,-531.0,-685.0,-322.0
4,-857.0,-542.0,-1745.0,-966.0,-478.0,-1193.0,-647.0,-921.0,-816.0,-369.0
5,-460.0,-241.0,-1676.0,-414.0,-360.0,-912.0,-13.0,-592.0,-759.0,-322.0
6,-87.0,12.0,-1491.0,46.0,94.0,-395.0,316.0,-479.0,-574.0,53.0
7,345.0,307.0,-612.0,373.0,626.0,-253.0,582.0,231.0,19.0,766.0
8,512.0,330.0,-118.0,467.0,942.0,-26.0,624.0,282.0,190.0,1072.0
9,244.0,492.0,-722.0,410.0,317.0,-437.0,365.0,-2.0,-324.0,195.0
10,-33.0,0.0,-791.0,356.0,326.0,-239.0,28.0,-145.0,-433.0,250.0
11,-46.0,158.0,-314.0,321.0,412.0,8.0,401.0,294.0,-184.0,219.0
12,43.0,181.0,-417.0,268.0,322.0,-228.0,304.0,157.0,-88.0,177.0
13,-20.0,-103.0,-711.0,246.0,455.0,-315.0,124.0,-295.0,-384.0,107.0
14,187.0,518.0,-791.0,168.0,288.0,-683.0,140.0,-185.0,-312.0,22.0
15,386.0,100.0,-233.0,210.0,595.0,-119.0,225.0,285.0,-95.0,391.0
16,512.0,46.0,147.0,461.0,522.0,-58.0,302.0,150.0,68.0,375.0
17,285.0,23.0,-159.0,694.0,661.0,-42.0,223.0,-176.0,-74.0,243.0
18,511.0,296.0,-38.0,222.0,855.0,255.0,379.0,475.0,256.0,560.0
19,279.0,-3.0,-15.0,-54.0,368.0,-518.0,195.0,388.0,1.0,137.0
20,19.0,-321.0,-688.0,-252.0,11.0,-849.0,-458.0,-282.0,-509.0,66.0
21,-243.0,-379.0,-1090.0,-398.0,-183.0,-941.0,-397.0,-523.0,-560.0,-48.0
22,-524.0,-494.0,-1400.0,-715.0,-459.0,-1126.0,-502.0,-597.0,-736.0,-249.0
23,-695.0,-511.0,-1515.0,-844.0,-602.0,-1180.0,-698.0,-756.0,-791.0,-255.0
24,-760.0,-779.0,-1377.0,-870.0,-627.0,-1349.0,-620.0,-1001.0,-882.0,-344.0
25,-817.0,-838.0,-1584.0,-1009.0,-705.0,-1378.0,-773.0,-1017.0,-877.0,-291.0
26,-782.0,-551.0,-1711.0,-1126.0,-767.0,-1496.0,-692.0,-935.0,-947.0,-433.0
27,-826.0,-839.0,-1584.0,-1020.0,-725.0,-1357.0,-732.0,-951.0,-979.0,-398.0
28,-782.0,-655.0,-1630.0,-925.0,-750.0,-1391.0,-735.0,-914.0,-850.0,-323.0
29,-256.0,-210.0,-1061.0,-533.0,-260.0,-812.0,53.0,-230.0,-328.0,-115.0
30,-195.0,-67.0,-1297.0,192.0,-156.0,-588.0,262.0,-278.0,-625.0,97.0
31,270.0,253.0,-952.0,499.0,425.0,-248.0,358.0,-209.0,-453.0,441.0
32,412.0,261.0,238.0,569.0,921.0,-95.0,583.0,292.0,15.0,708.0
33,150.0,115.0,-676.0,453.0,371.0,-391.0,151.0,-87.0,-383.0,372.0
34,13.0,3.0,-642.0,378.0,391.0,-307.0,117.0,-126.0,-428.0,208.0
35,24.0,-23.0,-745.0,444.0,330.0,-33.0,-15.0,-125.0,-458.0,158.0
