,0
0,0.9885351669779722
1,0.9842730198846998
2,0.9717382313202593
3,0.9494496735942553
4,0.9330760397170207
5,0.9018060184636996
6,0.91952769200888
7,0.9489698165349719
8,0.9648824951617023
9,0.9756233006329581
10,0.9846814905647211
11,0.9879209252008342
12,0.9852877930454348
13,0.984498592524089
14,0.989113322397329
15,0.9934470590888668
16,0.9965188477776256
17,0.9948401926948623
18,0.9983172643711724
19,0.991167352754559
20,0.9876978317031458
21,0.9935400935739048
22,0.9926991299567602
23,0.996351730433175
24,0.9864311916319369
25,0.986151776198756
26,0.9852156471544311
27,0.9650818061867612
28,0.9588489501067197
29,0.9230707764300926
30,0.9068527100629385
31,0.9513873976989471
32,0.963595262082857
33,0.9762908654108317
34,0.9881401679812202
35,0.9850221271663065
36,0.9857927881488843
37,0.987174287745473
38,0.9880543444996233
39,0.9924606524812831
40,0.9959588413347191
41,0.9966787080787364
42,0.9981454142620332
43,0.9929275645575762
44,0.9911798542588125
45,0.9935843751327719
46,0.994065209003984
47,0.9958963875575891
48,0.989560359785107
49,0.987579998358575
50,0.9730342930785051
51,0.9610969824473173
52,0.9582281172799423
53,0.9158636820121455
54,0.9182212152620546
55,0.9497267176707526
56,0.9627648180408674
57,0.9787031141315125
58,0.9818242410673784
59,0.9871414856027396
60,0.9835029169009406
61,0.9876269489147174
62,0.9890060562862589
63,0.9930762525255274
64,0.9949030011553835
65,0.998496585929018
66,0.9977498563617202
67,0.9937274417742619
68,0.9948959005783982
69,0.9951469774096665
70,0.9937167646365641
71,0.994613439332725
72,0.98811612022405
73,0.9846589122846117
74,0.976670467689544
75,0.9565938720611027
76,0.9534140161388067
77,0.9250811450704125
78,0.9166448866031204
79,0.9507315211378085
80,0.9657330983555172
81,0.9766141865054492
82,0.983317620242533
83,0.9869885772611403
84,0.9860081674245427
85,0.9856405046745396
86,0.9901254823104815
87,0.9935644769868713
88,0.9964849528862841
89,0.9968839822116946
90,0.9987264518410461
91,0.9933968674041747
92,0.9916026368363668
93,0.9969228227497124
94,0.9929229694114158
95,0.9943662127684941
96,0.9901841970963146
97,0.9848046174171736
98,0.9820080732555523
99,0.9683380388125796
100,0.957022815847033
101,0.920744677170911
102,0.9192623069240969
103,0.9495066448238386
104,0.9668442090180094
105,0.9815666054808898
106,0.9841864620048459
107,0.9849086045018345
108,0.9821100938705204
109,0.9817044367489428
110,0.9897134288942169
111,0.9924855465441422
112,0.9960053806152948
113,0.9970238949383654
114,0.9975843450722175
115,0.9927688773984914
116,0.9894756978559931
117,0.993519085202702
118,0.9944815118596666
119,0.9955935090272078
