,0,1,2,3,4,5,6,7,8,9
0,-933.0,-807.0,-1245.0,-1141.0,-946.0,-1287.0,-903.0,-970.0,-760.0,-571.0
1,-1137.0,-987.0,-1803.0,-1200.0,-1169.0,-1542.0,-1161.0,-1386.0,-1086.0,-747.0
2,-1184.0,-1006.0,-1849.0,-1201.0,-1215.0,-1592.0,-1216.0,-1440.0,-1114.0,-787.0
3,-1173.0,-988.0,-1837.0,-1201.0,-1224.0,-1622.0,-1165.0,-1465.0,-1150.0,-795.0
4,-1138.0,-894.0,-1826.0,-1240.0,-1162.0,-1546.0,-1007.0,-1405.0,-1058.0,-727.0
5,-928.0,-402.0,-1630.0,-486.0,-901.0,-1105.0,-323.0,-1091.0,-881.0,-596.0
6,-627.0,-9.0,-1343.0,19.0,-415.0,-727.0,169.0,-820.0,-736.0,-278.0
7,-244.0,156.0,-1055.0,224.0,93.0,-538.0,339.0,-351.0,-523.0,351.0
8,-193.0,253.0,-768.0,269.0,522.0,-378.0,312.0,-196.0,-164.0,506.0
9,-337.0,115.0,-814.0,187.0,119.0,-504.0,178.0,-191.0,-341.0,109.0
10,-135.0,91.0,-291.0,164.0,149.0,-43.0,126.0,57.0,-90.0,141.0
11,-337.0,-92.0,-791.0,140.0,-81.0,-275.0,-105.0,-321.0,-414.0,-161.0
12,-445.0,-80.0,-803.0,63.0,-122.0,-496.0,-127.0,-474.0,-402.0,-163.0
13,-520.0,-119.0,-790.0,20.0,67.0,-487.0,-73.0,-430.0,-446.0,-167.0
14,-265.0,-115.0,-845.0,136.0,40.0,-395.0,-188.0,-329.0,-421.0,-150.0
15,-166.0,-101.0,-573.0,109.0,65.0,-391.0,-151.0,-219.0,-360.0,-64.0
16,-123.0,-92.0,-441.0,178.0,143.0,-197.0,-77.0,-199.0,-256.0,3.0
17,195.0,181.0,238.0,173.0,435.0,92.0,263.0,69.0,226.0,195.0
18,240.0,100.0,307.0,55.0,418.0,92.0,275.0,469.0,326.0,250.0
19,-221.0,-138.0,-531.0,-373.0,-45.0,-735.0,-273.0,-106.0,-367.0,-287.0
20,-371.0,-387.0,-791.0,-550.0,-355.0,-828.0,-741.0,-373.0,-622.0,-288.0
21,-444.0,-393.0,-670.0,-647.0,-481.0,-816.0,-454.0,-322.0,-414.0,-252.0
22,-854.0,-655.0,-1412.0,-836.0,-826.0,-1206.0,-859.0,-995.0,-824.0,-541.0
23,-959.0,-827.0,-1527.0,-985.0,-964.0,-1311.0,-1024.0,-1158.0,-949.0,-639.0
24,-862.0,-753.0,-1176.0,-1093.0,-953.0,-1287.0,-845.0,-971.0,-721.0,-551.0
25,-1025.0,-963.0,-1722.0,-1164.0,-1166.0,-1563.0,-1132.0,-1402.0,-1050.0,-716.0
26,-1127.0,-1032.0,-1757.0,-1213.0,-1180.0,-1580.0,-1210.0,-1418.0,-1118.0,-774.0
27,-1149.0,-988.0,-1858.0,-1223.0,-1226.0,-1613.0,-1149.0,-1449.0,-1116.0,-792.0
28,-937.0,-750.0,-1348.0,-1086.0,-1036.0,-1270.0,-850.0,-994.0,-747.0,-599.0
29,-961.0,-517.0,-1584.0,-576.0,-912.0,-1185.0,-434.0,-1092.0,-890.0,-606.0
30,-638.0,89.0,-992.0,-7.0,-318.0,-656.0,330.0,-435.0,-402.0,-167.0
31,-378.0,115.0,-1044.0,209.0,67.0,-596.0,252.0,-457.0,-469.0,249.0
32,-206.0,230.0,-607.0,374.0,521.0,-428.0,256.0,-152.0,-484.0,509.0
33,-102.0,296.0,-256.0,289.0,221.0,-215.0,262.0,160.0,-114.0,266.0
34,-219.0,-11.0,-699.0,170.0,27.0,-374.0,-70.0,-322.0,-372.0,-87.0
35,-373.0,-69.0,-768.0,109.0,-148.0,-323.0,-97.0,-339.0,-388.0,-153.0
36,-408.0,-126.0,-826.0,4.0,-82.0,-449.0,-135.0,-466.0,-482.0,-186.0
37,-449.0,-149.0,-803.0,11.0,25.0,-454.0,-139.0,-377.0,-427.0,-84.0
38,-341.0,-80.0,-714.0,62.0,59.0,-483.0,-236.0,-395.0,-417.0,-221.0
39,-170.0,-44.0,-595.0,103.0,54.0,-416.0,-110.0,-316.0,-373.0,-13.0
40,-86.0,-33.0,-435.0,112.0,144.0,-296.0,-123.0,-205.0,-203.0,-38.0
41,143.0,-28.0,-193.0,69.0,283.0,-193.0,-18.0,-74.0,-100.0,12.0
42,277.0,431.0,338.0,106.0,371.0,201.0,161.0,304.0,269.0,222.0
43,-180.0,-149.0,-469.0,-431.0,-104.0,-588.0,-276.0,-151.0,-377.0,-206.0
44,-345.0,-356.0,-729.0,-497.0,-290.0,-773.0,-534.0,-404.0,-649.0,-310.0
45,-622.0,-436.0,-1044.0,-600.0,-529.0,-1004.0,-658.0,-629.0,-706.0,-407.0
46,-777.0,-586.0,-1274.0,-798.0,-793.0,-1159.0,-787.0,-988.0,-806.0,-506.0
47,-958.0,-816.0,-1504.0,-1003.0,-974.0,-1311.0,-1012.0,-1156.0,-938.0,-600.0
48,-872.0,-773.0,-1222.0,-1119.0,-799.0,-1261.0,-828.0,-900.0,-713.0,-553.0
49,-1127.0,-953.0,-1780.0,-1163.0,-1154.0,-1517.0,-1115.0,-1386.0,-1095.0,-759.0
50,-1089.0,-1011.0,-1780.0,-1198.0,-1175.0,-1601.0,-1189.0,-1447.0,-1108.0,-802.0
51,-1167.0,-977.0,-1814.0,-1201.0,-1194.0,-1601.0,-1141.0,-1479.0,-1129.0,-798.0
52,-1096.0,-892.0,-1791.0,-1086.0,-1122.0,-1496.0,-1007.0,-1365.0,-1082.0,-739.0
53,-976.0,-471.0,-1607.0,-558.0,-915.0,-1197.0,-334.0,-1101.0,-902.0,-565.0
54,-645.0,0.0,-1423.0,-8.0,-492.0,-844.0,91.0,-834.0,-791.0,-293.0
55,-203.0,273.0,-635.0,239.0,261.0,-404.0,506.0,-11.0,-224.0,413.0
56,-103.0,480.0,-302.0,308.0,573.0,-186.0,364.0,123.0,193.0,618.0
57,-362.0,-138.0,-986.0,-73.0,20.0,-529.0,-158.0,-485.0,-560.0,-20.0
58,-546.0,-149.0,-975.0,14.0,-227.0,-538.0,-283.0,-513.0,-548.0,-180.0
59,-487.0,-161.0,-925.0,-154.0,-264.0,-319.0,-140.0,-381.0,-357.0,-131.0
60,-522.0,-122.0,-831.0,85.0,-109.0,-508.0,-117.0,-423.0,-447.0,-243.0
61,-387.0,-138.0,-800.0,-7.0,6.0,-512.0,-171.0,-379.0,-446.0,-179.0
62,-286.0,-92.0,-665.0,65.0,153.0,-424.0,-116.0,-329.0,-399.0,-55.0
63,-206.0,-69.0,-650.0,28.0,37.0,-269.0,-196.0,-249.0,-355.0,-60.0
64,98.0,22.0,-95.0,76.0,137.0,-47.0,43.0,31.0,8.0,51.0
65,374.0,138.0,359.0,91.0,290.0,169.0,271.0,308.0,370.0,112.0
66,71.0,0.0,-182.0,116.0,283.0,-113.0,34.0,86.0,-5.0,147.0
67,-257.0,-138.0,-503.0,-340.0,-56.0,-622.0,-224.0,-152.0,-329.0,-167.0
68,-485.0,-367.0,-768.0,-417.0,-268.0,-781.0,-483.0,-491.0,-585.0,-286.0
69,-655.0,-471.0,-1111.0,-560.0,-599.0,-933.0,-647.0,-684.0,-685.0,-325.0
70,-837.0,-643.0,-1329.0,-729.0,-760.0,-1201.0,-850.0,-897.0,-827.0,-438.0
71,-708.0,-647.0,-1003.0,-982.0,-787.0,-1123.0,-776.0,-763.0,-577.0,-451.0
72,-1064.0,-888.0,-1561.0,-1033.0,-992.0,-1479.0,-1070.0,-1288.0,-1026.0,-712.0
73,-1050.0,-940.0,-1720.0,-1109.0,-1147.0,-1500.0,-1122.0,-1360.0,-1085.0,-732.0
74,-1181.0,-965.0,-1814.0,-1183.0,-1222.0,-1529.0,-1185.0,-1412.0,-1124.0,-788.0
75,-1180.0,-971.0,-1821.0,-1188.0,-1160.0,-1538.0,-1110.0,-1448.0,-1129.0,-813.0
