,0
0,0.9357658323205343
1,0.956314297173009
2,0.9241549064020792
3,0.9216092244492727
4,0.9174516627311877
5,0.9207509531851444
6,0.933467357876926
7,0.9623081891752114
8,0.9720704019213994
9,0.9677809225918307
10,0.9736344454168807
11,0.9860378609257782
12,0.9849776974372187
13,0.9749549697275884
14,0.9628454329582972
15,0.9847043388893804
16,0.9908011122351219
17,0.9829237194425255
18,0.988375701787541
19,0.9825695677202947
20,0.9760881463220551
21,0.9718434999069866
22,0.9580582888844681
23,0.9532509826472774
24,0.9560352375635502
25,0.935505848184762
26,0.8996070729410464
27,0.9370271482403472
28,0.9356591967122407
29,0.9524291627501124
30,0.9451617204212
31,0.9559018542963962
32,0.9824653916230472
33,0.9715300523297518
34,0.9764497070108608
35,0.9752059899223295
36,0.9728997758072617
37,0.9781000353350426
38,0.9727054353863147
39,0.9731463256701517
40,0.9797114268145978
41,0.9906736505392517
42,0.989811518364911
43,0.9901943179416512
44,0.9778819676199083
45,0.9774732895404595
46,0.9551461930887246
47,0.9648433770329367
48,0.9408579167949087
49,0.9225216863810705
50,0.8724785305460253
51,0.9345835549357947
52,0.9517729907651213
53,0.9477355383873175
54,0.9583106346100935
55,0.9696680816591019
56,0.9575330056213941
57,0.9676623415284054
58,0.9716342079678919
59,0.9807372802853
60,0.9762659690078419
61,0.9746533392944045
62,0.9744884663174082
63,0.9813449037536459
64,0.9775891359027029
65,0.9846128211739599
66,0.9844360167474115
67,0.9785197685456956
68,0.9746829735581487
69,0.9732525309398181
70,0.9536989584163247
71,0.9430039112829244
72,0.9339676710540707
73,0.9456942678110956
74,0.9727885823788128
75,0.9285452094304006
76,0.9016652898035543
77,0.940150935531289
78,0.9253748829355518
79,0.9584036201731708
80,0.9659543663676207
81,0.9757467060201911
82,0.9763889403173508
83,0.9720132760360225
84,0.9767350291367627
85,0.9728770512732465
86,0.9662730561698608
87,0.9788786434122267
88,0.9902857156175502
89,0.9915480698463349
90,0.984400194662224
91,0.9789481957377887
92,0.9756942222480648
93,0.9765638520408172
94,0.962763149830061
95,0.9772281450358553
96,0.9502298930671806
97,0.9238419045006309
98,0.9020112319418961
99,0.9363745127118869
100,0.9129175997612522
101,0.9352929319780487
102,0.9213627717325594
103,0.9338559068189571
104,0.9711907200090393
105,0.9710519180020578
106,0.9771013949999302
107,0.9849897143509587
108,0.9767123848044473
109,0.9760450623384417
110,0.9755567175827768
111,0.98122219736267
112,0.9816483315932764
113,0.9859936176032561
114,0.9894997221113121
115,0.9805463084361845
116,0.9791671521857749
117,0.9668697044872245
118,0.9724024744461903
119,0.9707020562979013
