,0,1,2,3,4,5,6,7,8,9
0,-1177.0,-958.0,-1693.0,-1185.0,-1236.0,-1529.0,-1238.0,-1493.0,-1124.0,-798.0
1,-1203.0,-1018.0,-1780.0,-1247.0,-1318.0,-1570.0,-1290.0,-1528.0,-1138.0,-843.0
2,-1268.0,-1046.0,-1826.0,-1241.0,-1351.0,-1624.0,-1346.0,-1598.0,-1181.0,-886.0
3,-1252.0,-1038.0,-1842.0,-1257.0,-1379.0,-1654.0,-1303.0,-1630.0,-1203.0,-894.0
4,-1213.0,-913.0,-1791.0,-1282.0,-1319.0,-1601.0,-1139.0,-1563.0,-1125.0,-813.0
5,-1042.0,-433.0,-1622.0,-562.0,-1050.0,-1120.0,-415.0,-1243.0,-940.0,-655.0
6,-777.0,-11.0,-1389.0,-34.0,-539.0,-778.0,89.0,-942.0,-764.0,-334.0
7,-405.0,184.0,-1082.0,166.0,41.0,-562.0,253.0,-442.0,-566.0,330.0
8,-334.0,313.0,-722.0,188.0,473.0,-356.0,207.0,-297.0,-280.0,498.0
9,-438.0,81.0,-824.0,109.0,51.0,-478.0,112.0,-267.0,-392.0,57.0
10,-402.0,-20.0,-768.0,99.0,-115.0,-273.0,-129.0,-403.0,-441.0,-57.0
11,-434.0,-92.0,-751.0,44.0,-185.0,-337.0,-162.0,-370.0,-438.0,-202.0
12,-493.0,-68.0,-860.0,-48.0,-281.0,-492.0,-189.0,-528.0,-439.0,-228.0
13,-595.0,-102.0,-722.0,-84.0,-38.0,-479.0,-139.0,-474.0,-489.0,-216.0
14,-398.0,-91.0,-676.0,-7.0,-36.0,-441.0,-248.0,-358.0,-460.0,-161.0
15,-252.0,-89.0,-570.0,-14.0,-35.0,-372.0,-203.0,-281.0,-385.0,-118.0
16,-192.0,-88.0,-387.0,52.0,22.0,-173.0,-131.0,-198.0,-255.0,-43.0
17,-80.0,77.0,-170.0,51.0,200.0,-197.0,-2.0,-357.0,-133.0,23.0
18,-7.0,0.0,-149.0,-24.0,171.0,-112.0,25.0,65.0,-11.0,83.0
19,-293.0,-115.0,-456.0,-454.0,-146.0,-695.0,-346.0,-158.0,-376.0,-341.0
20,-469.0,-382.0,-780.0,-615.0,-418.0,-831.0,-830.0,-440.0,-656.0,-355.0
21,-708.0,-523.0,-1117.0,-710.0,-711.0,-1020.0,-700.0,-805.0,-778.0,-463.0
22,-934.0,-694.0,-1400.0,-898.0,-918.0,-1222.0,-954.0,-1101.0,-863.0,-595.0
23,-1037.0,-843.0,-1504.0,-1060.0,-1086.0,-1326.0,-1115.0,-1286.0,-983.0,-705.0
24,-1137.0,-893.0,-1660.0,-1154.0,-1221.0,-1497.0,-1170.0,-1469.0,-1075.0,-776.0
25,-1150.0,-1000.0,-1725.0,-1224.0,-1276.0,-1589.0,-1258.0,-1533.0,-1113.0,-814.0
26,-1193.0,-1071.0,-1780.0,-1265.0,-1331.0,-1615.0,-1331.0,-1568.0,-1157.0,-868.0
27,-1223.0,-1034.0,-1825.0,-1266.0,-1357.0,-1636.0,-1284.0,-1596.0,-1173.0,-888.0
28,-1191.0,-940.0,-1780.0,-1145.0,-1315.0,-1500.0,-1184.0,-1526.0,-1134.0,-826.0
29,-1017.0,-528.0,-1596.0,-669.0,-1062.0,-1204.0,-544.0,-1255.0,-947.0,-690.0
30,-972.0,-45.0,-1419.0,-83.0,-595.0,-922.0,53.0,-945.0,-786.0,-348.0
31,-474.0,150.0,-1067.0,103.0,18.0,-615.0,202.0,-528.0,-541.0,235.0
32,-266.0,237.0,-658.0,201.0,478.0,-423.0,212.0,-217.0,-528.0,500.0
33,-388.0,138.0,-757.0,228.0,0.0,-460.0,5.0,-285.0,-465.0,75.0
34,-336.0,-21.0,-676.0,76.0,-75.0,-357.0,-120.0,-383.0,-431.0,-122.0
35,-481.0,-88.0,-814.0,83.0,-237.0,-352.0,-150.0,-399.0,-407.0,-216.0
36,-487.0,-122.0,-835.0,-79.0,-185.0,-461.0,-185.0,-533.0,-506.0,-232.0
37,-515.0,-159.0,-777.0,-56.0,-107.0,-454.0,-209.0,-426.0,-465.0,-134.0
38,-456.0,-138.0,-688.0,-25.0,-14.0,-452.0,-249.0,-479.0,-445.0,-175.0
39,-275.0,-31.0,-527.0,15.0,-42.0,-406.0,-160.0,-367.0,-391.0,-80.0
40,-170.0,-13.0,-428.0,-17.0,50.0,-281.0,-177.0,-257.0,-226.0,-100.0
41,-71.0,12.0,-170.0,9.0,239.0,-216.0,-60.0,-121.0,-150.0,-34.0
42,6.0,12.0,-65.0,-68.0,211.0,-106.0,-74.0,-112.0,-85.0,26.0
43,-280.0,-125.0,-492.0,-376.0,-163.0,-686.0,-356.0,-202.0,-416.0,-243.0
44,-427.0,-367.0,-742.0,-618.0,-407.0,-862.0,-597.0,-471.0,-669.0,-318.0
45,-725.0,-481.0,-1021.0,-699.0,-657.0,-987.0,-746.0,-712.0,-751.0,-460.0
46,-902.0,-637.0,-1320.0,-859.0,-905.0,-1181.0,-884.0,-1116.0,-844.0,-577.0
47,-1020.0,-850.0,-1508.0,-1070.0,-1093.0,-1348.0,-1092.0,-1298.0,-990.0,-692.0
48,-1116.0,-927.0,-1665.0,-1165.0,-1215.0,-1475.0,-1176.0,-1418.0,-1081.0,-780.0
49,-1197.0,-991.0,-1728.0,-1205.0,-1284.0,-1542.0,-1245.0,-1527.0,-1138.0,-844.0
50,-1166.0,-1041.0,-1777.0,-1261.0,-1320.0,-1636.0,-1323.0,-1588.0,-1168.0,-884.0
51,-1238.0,-1010.0,-1814.0,-1248.0,-1360.0,-1607.0,-1271.0,-1608.0,-1180.0,-880.0
52,-1176.0,-938.0,-1772.0,-1148.0,-1299.0,-1496.0,-1159.0,-1532.0,-1138.0,-826.0
53,-1020.0,-505.0,-1591.0,-625.0,-1053.0,-1182.0,-483.0,-1262.0,-952.0,-651.0
54,-797.0,-21.0,-1412.0,-101.0,-615.0,-865.0,5.0,-952.0,-804.0,-336.0
55,-452.0,161.0,-1101.0,155.0,47.0,-569.0,234.0,-496.0,-520.0,254.0
56,-403.0,336.0,-826.0,234.0,392.0,-391.0,121.0,-288.0,-186.0,459.0
57,-509.0,-143.0,-938.0,-145.0,-96.0,-591.0,-213.0,-534.0,-597.0,-75.0
58,-561.0,-161.0,-952.0,-56.0,-301.0,-538.0,-368.0,-596.0,-575.0,-232.0
59,-627.0,-125.0,-819.0,-204.0,-397.0,-340.0,-183.0,-469.0,-412.0,-405.0
60,-558.0,-80.0,-869.0,-60.0,-186.0,-461.0,-196.0,-487.0,-489.0,-249.0
61,-446.0,-126.0,-816.0,-92.0,-116.0,-478.0,-243.0,-407.0,-479.0,-205.0
62,-384.0,-65.0,-611.0,-16.0,52.0,-438.0,-163.0,-380.0,-422.0,-110.0
63,-296.0,-90.0,-626.0,-12.0,-90.0,-296.0,-255.0,-309.0,-382.0,-103.0
64,-179.0,-124.0,-561.0,-14.0,-131.0,-215.0,-219.0,-396.0,-332.0,-144.0
65,-30.0,27.0,-244.0,-14.0,110.0,-57.0,-52.0,-25.0,-19.0,-5.0
66,3.0,-9.0,-287.0,3.0,88.0,-67.0,-9.0,59.0,-10.0,86.0
67,-266.0,-140.0,-527.0,-389.0,-130.0,-626.0,-301.0,-192.0,-382.0,-171.0
68,-558.0,-356.0,-824.0,-535.0,-416.0,-795.0,-533.0,-561.0,-627.0,-329.0
69,-746.0,-498.0,-1055.0,-644.0,-674.0,-938.0,-714.0,-774.0,-717.0,-394.0
70,-912.0,-620.0,-1272.0,-841.0,-857.0,-1112.0,-852.0,-1004.0,-854.0,-550.0
71,-975.0,-813.0,-1479.0,-1061.0,-1069.0,-1335.0,-1090.0,-1269.0,-969.0,-658.0
72,-1133.0,-896.0,-1599.0,-1120.0,-1127.0,-1498.0,-1190.0,-1417.0,-1084.0,-770.0
73,-1160.0,-964.0,-1705.0,-1174.0,-1248.0,-1539.0,-1249.0,-1529.0,-1135.0,-819.0
74,-1254.0,-1005.0,-1787.0,-1230.0,-1329.0,-1580.0,-1300.0,-1563.0,-1171.0,-879.0
